Note: Component loadings for Components 1 and 2 after varimax rotation,,
Gene,Component 1,Component 2
HDC,0.761,-0.19
CABLES2,-0.466,0.366
CSF2RA,0.628,-0.325
CABLES1,0.178,-0.031
NFX1,-0.811,-0.199
MRC1L1,0.241,-0.788
IPO5,-0.364,0.559
HBM,0.77,-0.053
NR3C2,-0.792,0.444
NFYC,-0.849,0.039
NR3C1,-0.807,0.47
ESYT1,-0.669,-0.11
UFM1,-0.358,-0.783
SCLT1,-0.799,0.321
HCK,0.73,-0.133
DACH1,-0.191,0.095
LOC650095,-0.241,-0.542
DACH2,0.34,-0.802
HBZ,0.721,-0.129
ZRANB1,-0.925,-0.14
ZRANB3,0.362,-0.546
TBL1X,-0.024,0.297
TBL1Y,-0.259,0.222
ADCY1,-0.234,0.616
ADCY2,0.434,-0.58
ADCY7,0.747,-0.378
ADCY8,-0.179,-0.084
OVCH1,0.037,-0.54
TAF7L,0.66,-0.574
RTBDN,0.72,-0.528
KIAA0947,0.002,-0.801
TAF9B,0.27,-0.549
FCER1G,0.083,-0.578
ADPRH,-0.258,0.33
CHCHD10,0.091,0.413
PSORS1C1,0.389,-0.663
COPS4,0.02,-0.893
CAMKK1,-0.663,0.065
CAMKK2,-0.649,0.46
LOC440461,-0.238,0.384
RESP18,-0.449,-0.742
LOC440459,-0.916,0.079
NR2F2,0.171,-0.531
NR2F1,-0.1,0.348
MED8,-0.139,-0.725
MED9,-0.672,0.324
MECR,-0.042,-0.862
MEG3,-0.721,-0.203
ADCY9,-0.553,0.592
OPN3,-0.418,0.449
OPN4,-0.527,-0.523
KLHL2,-0.235,-0.788
KLHL1,0.158,-0.813
KLHL8,-0.684,-0.229
KLHL9,-0.274,0.422
PARD3B,0.565,-0.421
SLC4A4,0.667,-0.481
SLC4A3,0.515,-0.694
SDHAP1,-0.821,-0.033
IQCK,0.145,-0.803
ARNTL,-0.855,-0.072
MEPE,0.1,-0.801
IQCJ,0.431,-0.539
IQCC,-0.759,0.154
OR2Z1,0.364,0.237
COPZ2,0.065,-0.176
DSCAML1,-0.254,0.474
PTPLB,-0.194,0.434
PTPLA,0.058,-0.807
SLC30A3,0.168,-0.454
AXIN2,-0.191,-0.714
SLC30A9,-0.507,-0.691
AXIN1,-0.226,-0.244
MEST,0.592,-0.357
MAFG,0.413,-0.687
PARD6A,-0.306,-0.243
MAFF,-0.367,-0.231
PARD6B,-0.835,0.153
NFE2,0.709,0.119
PTPN3,0.306,-0.12
MAFB,-0.558,0.48
PTPN2,-0.781,0.412
PTPN5,-0.795,-0.461
PTPN4,-0.124,0.531
GLS,-0.852,0.151
PARD6G,-0.769,-0.157
KIAA0913,-0.478,0.196
ECHDC2,-0.642,-0.303
ECHDC3,0.798,-0.436
GSS,-0.125,-0.908
GSR,-0.559,-0.2
TDO2,-0.72,-0.288
LOC392145,0.316,-0.834
TTC39C,-0.446,0.728
TTC39B,-0.556,0.727
TTC39A,-0.812,0.213
KIAA0907,-0.825,0.172
RASL12,-0.199,-0.64
GRP,0.574,-0.527
GRN,0.026,-0.762
PPAPR3,0.278,-0.512
BUB1B,-0.202,0.077
PPAPR5,0.41,-0.481
HAGHL,-0.201,0.384
MAL2,0.24,0.018
RTN4RL1,0.107,-0.632
RSAD1,-0.836,0.14
NFIX,-0.671,0.336
SH3GLB2,0.104,-0.683
SH3GLB1,0.236,-0.676
RTN4RL2,0.315,-0.34
PTPRC,0.264,-0.684
PTPRE,-0.433,0.431
PTPRA,0.26,-0.849
NFIC,-0.437,0.535
NFIA,0.265,-0.371
NFIB,0.44,-0.403
H2BFXP,-0.753,-0.239
MC1R,-0.367,0.567
ILK,-0.612,-0.057
CCR10,-0.361,0.498
INA,-0.593,0.617
F8,-0.54,-0.295
F7,0.02,0.463
CD320,-0.328,-0.023
F5,0.341,-0.073
MADCAM1,-0.477,0.562
ARL8B,-0.56,0.264
SLC30A10,0.725,-0.529
KIAA1919,0.253,0.06
IL17D,0.558,-0.274
PEA15,0.562,-0.764
SULT4A1,-0.114,0.698
LAPTM4B,-0.89,0.167
MCPH1,-0.753,-0.06
GHDC,-0.579,-0.072
GK,-0.603,0.578
OPRM1,0.464,-0.624
KCNAB3,-0.808,0.488
KCNAB2,-0.552,-0.133
DPP10,0.212,-0.772
ARL5A,-0.754,0.131
IHH,0.129,-0.508
KDELR3,-0.27,-0.717
HYAL1,-0.049,0.368
AR,-0.332,0.687
HYAL3,-0.064,-0.328
HIST1H1D,0.062,0.861
HIST1H1A,-0.193,0.372
CNPY1,-0.01,-0.535
SORT1,-0.773,0.179
ARL4C,-0.477,0.628
C3,0.505,-0.382
OPRK1,0.498,-0.676
C5,-0.044,-0.763
AP001816.1,-0.013,-0.68
SCAF11,-0.728,0.298
LRRTM4,0.055,-0.471
LRRTM3,-0.699,0.024
LRRTM1,0.579,0.295
EXOC4,-0.122,-0.76
EXOC6,0.259,-0.593
OPRL1,-0.696,-0.092
CS,-0.266,0.764
AC110754.1,-0.79,0.373
NTNG1,-0.354,0.574
NTNG2,0.362,-0.62
LOC391334,0.085,-0.605
MC4R,-0.031,-0.303
CD302,0.53,-0.478
PRC1,-0.842,-0.039
LOC730268,-0.863,-0.092
IDE,-0.744,0.523
KNTC1,-0.36,-0.653
TXLNB,0.49,-0.689
LZTFL1,-0.32,0.269
FDFT1,-0.259,-0.87
IDS,0.493,-0.595
CYGB,0.613,-0.033
BEND4,0.739,0.185
BEND6,-0.806,0.408
BEND5,-0.243,-0.222
BEND7,-0.606,-0.145
POLR2J4,-0.395,-0.753
PRCP,-0.725,-0.474
ABCA9,-0.28,0.684
MAPKAPK3,0.368,-0.57
MAPKAPK2,-0.443,-0.525
ABCA1,0.527,-0.338
LOC400027,0.735,-0.295
ABCA4,0.071,0.271
ABCA6,-0.93,0.16
ABCA5,-0.788,0.081
TTYH3,0.464,-0.323
KDELC1,-0.818,0.246
HIST1H4A,-0.616,0.459
TTYH1,0.577,-0.556
HIST1H4E,-0.615,0.449
HIST1H4C,0.264,0.565
HIST1H4I,-0.114,0.636
HIST1H4G,0.062,0.365
PRB2,-0.875,-0.073
PRB1,-0.806,-0.16
NR4A2,0.245,-0.417
ABCB1,-0.627,-0.285
NR4A3,0.21,-0.529
ABCB7,-0.779,0.245
S100Z,0.35,-0.735
ABCB6,-0.217,-0.901
HILS1,0.511,-0.442
S100B,-0.065,-0.578
FREM3,0.544,-0.354
CXCL13,-0.163,0.679
FREM2,0.379,-0.323
CXCL16,0.54,-0.442
HIST1H3A,-0.445,0.654
NKAPP1,-0.296,0.33
HIST1H3E,0.005,0.409
PC,-0.636,-0.343
AL096711.2,-0.742,0.29
CYC1,-0.686,-0.32
HR,-0.456,0.724
LACE1,-0.062,0.045
LRRFIP1,-0.736,0.121
LOC729683,0.669,-0.268
LOC729680,-0.578,-0.488
NEK10,-0.562,-0.053
NEK11,0.479,-0.584
TXNRD3,0.007,-0.847
SLC47A1,-0.811,0.171
EHBP1L1,0.344,-0.578
SLC47A2,-0.033,0.515
OLR1,-0.672,0.192
KL,0.201,-0.512
KY,0.047,0.547
ZBED1,-0.588,0.26
CYBB,0.262,-0.753
ID2,-0.603,-0.272
ZBED5,-0.916,-0.225
ZBED4,-0.86,-0.176
ID4,0.056,-0.523
OPRD1,-0.422,0.47
IQUB,-0.714,0.152
TRAPPC2L,-0.161,-0.86
NSMAF,-0.916,-0.106
GTPBP1,-0.745,-0.467
GTPBP4,0.046,-0.464
GTPBP3,-0.116,-0.753
CATSPER2,-0.871,-0.118
CATSPER3,-0.296,-0.633
C21orf81,-0.615,-0.416
RAB40C,-0.343,0.662
AC069154.2,-0.44,0.49
EPHB3,0.368,0.268
EPHB4,-0.026,0.249
RAB40B,-0.06,-0.167
MAP3K7IP3,-0.788,0.196
EPHB2,0.032,0.495
EPHB6,-0.427,0.294
NGRN,-0.352,0.609
UTS2D,0.616,-0.304
CELSR2,-0.834,0.181
CELSR1,-0.24,0.201
EPHA3,-0.279,0.151
PXDNL,-0.749,0.478
EPHA5,0.686,-0.001
EPHA7,-0.501,-0.111
EPHA6,0.289,-0.616
TCTA,-0.237,-0.904
EPHA8,0.583,-0.466
C21orf88,0.095,-0.485
MGC2889,-0.075,-0.189
BEGAIN,0.694,-0.218
PRH2,-0.514,0.504
CDCP1,0.449,-0.233
C21orf62,0.514,-0.626
AC136632.1,-0.672,0.253
EFHD2,-0.025,-0.229
TRAPPC6A,-0.153,-0.874
C21orf59,-0.428,-0.588
C21orf56,0.717,-0.406
C21orf57,-0.535,0.085
MBD3,-0.342,0.338
MBD2,-0.642,0.3
LRRC37BP1,-0.511,-0.408
C21orf70,0.442,-0.679
EFHC2,0.493,-0.721
STYK1,0.606,-0.643
EFHC1,-0.63,-0.291
C21orf67,0.605,-0.586
PLA2G7,0.248,-0.54
PLA2G3,-0.27,0.297
PATE2,-0.098,0.638
TG,0.523,-0.667
PREP,-0.67,0.274
TH,0.609,-0.518
LOC202781,0.034,-0.697
PTRHD1,-0.083,-0.895
TPCN1,-0.546,-0.021
C21orf34,0.479,-0.489
C21orf37,-0.142,0.016
LOC728534,-0.14,0.546
APBA1,0.625,-0.444
AC004980.7,-0.602,0.02
MOGAT2,-0.091,0.779
MOGAT1,-0.78,0.47
BIRC3,0.434,-0.804
HYI,0.2,-0.684
LOC728543,-0.344,0.071
PREB,-0.456,-0.79
C21orf45,-0.099,0.438
TMTC1,0.216,-0.794
EFHA2,-0.656,0.608
TMTC4,-0.713,0.347
PLXNA3,0.778,0.194
PLXNA4,-0.693,0.362
SLC22A18,0.549,-0.208
PLXNA1,0.617,-0.436
PRTG,0.673,0.246
SLC22A10,0.147,0.141
ARL10,0.417,-0.708
ARL15,0.599,-0.46
AC013283.1,-0.232,-0.694
SLC22A25,0.493,0.268
PLXNB3,0.328,0.313
SLC22A23,-0.568,0.334
HRK,0.609,0.103
MRGPRF,-0.885,0.197
ARL16,0.482,-0.373
NRSN1,-0.11,0.399
PLXNC1,0.632,-0.553
ADCYAP1R1,0.598,-0.151
COMMD9,-0.321,-0.797
KIAA0664L3,0.449,0.551
PRR7,0.254,-0.509
PRR5,0.732,-0.413
PRR4,-0.75,0.097
PRR3,-0.097,0.06
MTCH1,-0.22,-0.877
PLXND1,0.296,0.226
PABPC1L2A,-0.148,-0.258
MUSTN1,-0.639,0.024
UQCRC2,-0.762,-0.161
PRPH,0.183,0.036
SLC5A4,-0.351,0.666
IGFBP6,-0.519,-0.166
SORL1,-0.665,0.533
SRD5A3,0.001,-0.77
SRD5A1,0.027,-0.408
PROC,0.801,-0.126
GHRH,0.747,0.061
ZADH2,-0.779,0.507
PRNP,0.542,-0.184
COMMD6,0.112,-0.833
RPS27AP11,0.594,-0.652
DTNBP1,0.048,-0.964
PATL1,-0.627,0.302
HRG,-0.363,0.176
PLA2R1,-0.513,0.722
HRC,-0.807,0.054
NGEF,-0.674,0.469
TCP1,0.061,-0.638
CYSTM1,0.288,-0.086
IRF1,-0.11,0.352
PRM1,0.363,0.423
SLC5A6,-0.738,0.531
IRF3,-0.643,-0.397
IGFBP1,0.593,-0.034
IGFBP2,-0.581,0.501
LOC647030,-0.472,-0.674
IGFBP3,0.31,0.523
IGFBP4,0.105,-0.55
IGFBP5,0.549,-0.736
SLC2A4RG,0.489,-0.67
PLEKHM3,-0.724,0.012
PLEKHM2,-0.834,0.156
ANKLE2,0.036,-0.871
MAGED1,0.05,-0.913
CDCA7,0.494,-0.651
CDCA5,-0.143,-0.147
WNT10A,-0.254,-0.117
WNT10B,0.277,-0.887
LOC100133211,0.88,-0.147
ATPIF1,0.271,-0.624
CD226,0.035,-0.319
GGCX,0.451,-0.589
MGAT5B,0.307,0.496
GGCT,0.463,-0.808
HMGCS1,0.119,-0.803
DIDO1,-0.847,-0.09
ADCYAP1,-0.057,-0.354
HADHB,0.021,-0.411
PPPDE2,-0.812,-0.309
MGAT4B,0.5,-0.517
LY6G5B,-0.241,0.783
MGAT4C,0.258,-0.061
CD209,-0.178,0.499
AC073135.1,-0.029,0.529
CD200,-0.058,-0.676
DFNB31,0.169,0.615
CREG2,0.361,-0.518
CREG1,-0.249,-0.613
MAGEH1,-0.019,-0.882
SCN10A,0.331,0.626
TCHH,-0.494,0.552
KIAA1841,-0.296,0.743
MTND4P12,-0.192,-0.212
PLEKHH3,-0.716,0.506
PLEKHH2,0.134,0.283
TCHP,-0.498,0.62
PLEKHG1,-0.659,0.109
DFNB59,-0.838,-0.353
CPT1C,0.695,-0.279
CPT1B,-0.726,0.359
NID1,0.411,-0.176
CPT1A,0.43,0.024
PLEKHF1,-0.601,0.112
LOC729722,-0.421,-0.685
RNASEK,0.217,-0.791
SLC6A20,0.505,0.32
BTRC,-0.094,-0.866
IMPACT,0.076,-0.863
ROMO1,0.708,-0.127
ARMET,-0.01,-0.902
ST3GAL1,0.172,-0.385
ST3GAL3,-0.559,-0.306
UQCR11,0.473,-0.433
SMARCD2,-0.884,-0.075
UNC5B,-0.161,-0.099
ST3GAL5,-0.815,0.353
SMARCD3,0.567,-0.728
UNC5A,-0.251,0.113
SMARCD1,0.507,0.284
LIX1L,0.353,-0.306
ST3GAL6,-0.802,0.477
AKR7A2,-0.003,-0.88
AKR7A3,-0.055,-0.876
UNC5D,0.34,0.176
PSD3,0.051,-0.931
NEIL1,-0.888,0.128
CORO6,-0.359,0.845
CORO7,-0.87,-0.092
IRS1,-0.803,0.293
LOC730144,0.081,-0.734
AFTPH,-0.457,0.629
HERPUD1,-0.929,0.134
CCPG1,-0.817,-0.076
HDDC2,-0.645,-0.653
SLC6A13,-0.148,-0.112
ARMC3,0.299,-0.248
SLC6A15,-0.251,-0.111
ARMC5,0.347,0.538
SLC6A16,0.254,-0.224
SLC6A17,-0.232,0.609
ARMC2,0.221,-0.37
MERTK,0.37,-0.313
CYB5R3,0.137,-0.413
CYB5R4,-0.883,-0.016
CYB5R1,0.276,-0.823
RAB3IP,-0.46,-0.673
CDC42,0.358,-0.675
RASL10A,0.586,-0.533
HMOX1,0.126,-0.577
FIGNL2,0.525,-0.38
RPL23AP64,-0.54,0.262
ADRB2,0.551,-0.591
ADRB1,-0.516,0.541
HHAT,-0.324,0.225
CPSF4,0.205,-0.632
CPSF1,-0.922,0.144
ABLIM2,-0.179,0.231
IRX3,0.596,-0.192
TCAP,0.34,-0.152
ABLIM3,0.651,-0.311
IRX2,0.556,-0.189
PLEKHO1,-0.76,-0.232
DMGDH,0.515,-0.485
PLEKHO2,0.685,-0.213
TRNP1,-0.845,-0.176
CREB3,0.192,-0.687
RNASE6,0.308,-0.672
POLR3GL,-0.27,-0.789
RASL11B,0.515,-0.651
RASL11A,-0.068,0.604
APAF1,-0.04,-0.781
GGA2,-0.91,-0.021
CALHM1,0.393,-0.315
CALHM2,-0.307,-0.742
GGT1,-0.246,0.241
CDC16,-0.086,-0.447
DNASE1L2,-0.466,0.626
RNF212,0.001,0.177
BCL7A,-0.385,0.419
BCL7C,0.505,-0.647
RNF220,-0.731,0.019
TC2N,-0.361,0.632
TBR1,-0.579,0.7
OR1D5,-0.012,-0.639
AC058791.2,-0.805,-0.398
WDFY3-AS2,-0.442,-0.509
PFKFB3,0.532,-0.366
PFKFB2,-0.851,-0.018
CDC34,-0.034,-0.821
TCTEX1D1,-0.916,0.163
RP3-402G11.1,-0.497,0.032
LOC728636,-0.764,-0.192
OSBPL5,0.019,0.741
OSBPL2,-0.9,-0.021
OSBPL3,-0.457,0.294
OSBPL8,0.362,-0.242
OSBPL6,-0.792,0.555
SMYD3,-0.059,-0.717
SMYD4,-0.633,0.381
SMYD2,-0.343,0.026
OR1F1,0.676,0.268
CDC27,0.254,-0.498
ABCG4,-0.364,-0.159
ABCG1,-0.365,0.361
ABCG2,-0.099,0.433
GGT5,-0.527,-0.03
GGT6,0.091,0.721
GGT7,-0.709,-0.103
ABCG5,0.515,-0.233
DZIP1L,-0.515,0.497
JAZF1,0.625,-0.168
SLC46A3,-0.675,0.33
SLC46A1,-0.346,-0.156
PRO2852,-0.827,-0.193
SLC46A2,0.387,0.357
ABCF2,-0.769,-0.342
TAS2R4,-0.748,0.181
TAS2R5,-0.77,-0.004
RNGTT,0.191,-0.691
RBM4B,-0.821,-0.048
ERVMER34-1,-0.322,0.505
TAS2R9,-0.639,0.34
TAS2R8,-0.548,0.373
RBM43,-0.156,-0.56
RASIP1,-0.331,0.209
CYB5A,-0.456,-0.723
CYB5B,-0.032,-0.377
RBM39,-0.803,-0.367
NHP2,0.476,-0.498
WTIP,0.403,-0.802
OR13C5,-0.102,-0.797
CYLD,-0.474,-0.645
OR13C2,0.111,-0.548
ABCD2,-0.26,0.666
RBM24,0.164,-0.56
MCF2,-0.868,0.292
RBM20,-0.605,0.359
TBX1,-0.104,0.806
LOC730234,-0.878,-0.291
ABCC9,-0.306,-0.418
ABCC3,-0.101,0.682
ABCC4,0.129,-0.649
ABCC1,-0.165,0.761
RBM14,-0.79,0.092
RBM15,-0.724,0.342
ABCC8,-0.639,0.61
ABCC5,-0.864,0.18
TBK1,-0.876,-0.025
AADACL1,-0.404,0.764
MAGEL2,-0.626,0.179
SGOL2,-0.741,0.111
LOC649330,-0.4,-0.811
ISCU,-0.762,-0.001
PSMA6,0.318,-0.549
PSMA5,-0.257,-0.888
PSMA4,-0.576,0.178
KIAA1875,-0.547,-0.019
CXADRP3,0.364,-0.413
LOC100133161,-0.854,-0.065
B9D1,0.744,-0.542
CMPK1,-0.815,-0.279
PSMB5,-0.005,-0.821
PSMB7,0.07,-0.861
PSMB6,0.3,-0.664
PSMB1,0.037,-0.843
PSMB2,0.259,-0.705
LOC100133150,-0.914,-0.294
EPHX4,-0.637,0.11
EPHX2,0.191,-0.507
CD276,-0.048,0.18
EPHX1,0.564,-0.376
RAB33A,-0.423,-0.541
PSMC3,-0.351,-0.849
CD274,-0.588,0.604
COQ10B,-0.922,-0.005
KIAA1853,-0.451,0.313
ATG16L1,-0.647,0.638
IGLL3P,-0.89,0.118
SULT2B1,-0.551,0.011
PSPH,0.341,0.169
AC114947.2,-0.659,0.293
LOC100133131,-0.469,0.603
ATP8B1,-0.173,0.788
ATP8B2,-0.753,0.381
PSMD4,-0.326,-0.858
KLK10,0.252,-0.792
PSMD6,-0.858,-0.095
CYS1,0.528,0.068
DUS1L,-0.928,0.113
ATP8B4,0.73,-0.113
